notation,description,smiles
STREPTIDINE,Streptidine,NC(N)=NC1C(O)C(O)C(O)C(N=C(N)N)C1O
N_METHYL_GLUCOSAMINE,N-methyl-glucosamine,CNC1C(O)OC(CO)C(O)C1O
STREPTOSE,Streptose,CC1OC(O)C(O)C1(O)C=O
DIHYDROSTREPTOSE,Dihydrostreptose,CC1OC(O)C(O)C1(O)CO
BLUENSIDINE,Bluensidine,N=C(N)NC1C(O)C(O)C(O)C(NC(N)=O)C1O
_2L_2_AMINO_2_DEOXY_4_5_O_METHYLENE_NEO_INOSITOL,"2L-2-amino-2-deoxy-4,5-O-methylene-neo-inositol",NC1C(O)C(O)C2OCOC2C1O
_5_DEHYDRO_L_FUCOFURANOSE,5-dehydro-L-fucofuranose,CC(=O)C1OC(O)C(O)C1O
KASUGAMINE,Kasugamine,CC1OC(O)C(N)CC1NC(=N)C(=O)O
INOSITOL,Inositol,OC1C(O)C(O)C(O)C(O)C1O
ACTINAMINE,Actinamine,CNC1C(O)C(O)C(O)C(NC)C1O
_3_4_DIDEOXY_PURPUROSAMINE,"3,4-dideoxy purpurosamine",CC(N)C1CCC(N)C(O)O1
_2_DEOXYSTREPTAMINE,2-deoxystreptamine,NC1CC(N)C(O)C(O)C1O
GLUCOSAMINE,Glucosamine,NC1C(O)OC(CO)C(O)C1O
NEOSAMINE_C,Neosamine C,NCC1OC(O)C(N)C(O)C1O
RIBOSE,Ribose,OCC1OC(O)C(O)C1O
XYLOSE,Xylose,OC1COC(O)C(O)C1O
_3_DEOXYGLUCOSAMINE,3-deoxyglucosamine,NC1CC(O)C(CO)OC1O
_3_DEOXYNEOSAMINE_C,3-deoxyneosamine C,NCC1OC(O)C(N)CC1O
KANOSAMINE,Kanosamine,NC1C(O)C(O)OC(CO)C1O
MYO_INOSITOL,Myo-inositol,OC1C(O)C(O)C(O)C(O)C1O
D-desosamine,D-desosamine,C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O)O)N(C)C
L-rhamnose,L-rhamnose,C[C@@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)O
L-rhodinose,L-rhodinose,C[C@@H]1O[C@@H](CC[C@@H]1O)O
Olivomycose,Olivomycose,C[C@@H]1O[C@H](C[C@](O)([C@H]1OC(C)=O)C)
6-deoxy-3-C-methyl-L-mannose,6-deoxy-3-C-methyl-L-mannose,C[C@@H]1OC([C@@H]([C@](O)([C@H]1O)C)O)O
4-oxo-L-vancosamine,4-oxo-L-vancosamine,C[C@@H]1OC(C[C@](N)(C1=O)C)O
L-daunosamine,L-daunosamine,C[C@@H]1OC(C[C@@H]([C@@H]1O)N)O
L-megosamine,L-megosamine,C[C@@H]1OC(C[C@@H](N(C)C)[C@H]1O)O
