mibig_id,cluster_id,orf_id,family_id
BGC0000001,2474238480_7757_57829,2474238480_7757_8182,-1
BGC0000001,2474238480_7757_57829,2474238480_8175_9953,-1
BGC0000001,2474238480_7757_57829,2474238480_10118_11143,247
BGC0000001,2474238480_7757_57829,2474238480_11140_13008,6
BGC0000001,2474238480_7757_57829,2474238480_13005_13241,-1
BGC0000001,2474238480_7757_57829,2474238480_13238_13993,1
BGC0000001,2474238480_7757_57829,2474238480_13990_15057,-1
BGC0000001,2474238480_7757_57829,2474238480_46457_47149,104
BGC0000001,2474238480_7757_57829,2474238480_47233_48660,388
BGC0000001,2474238480_7757_57829,2474238480_49826_51442,153
BGC0000001,2474238480_7757_57829,2474238480_51439_52374,-1
BGC0000001,2474238480_7757_57829,2474238480_52371_53222,104
BGC0000001,2474238480_7757_57829,2474238480_53212_54831,396
BGC0000001,2474238480_7757_57829,2474238480_54828_56015,372
BGC0000001,2474238480_7757_57829,2474238480_55978_56229,153
BGC0000001,2474238480_7757_57829,2474238480_56230_56808,275
BGC0000001,2474238480_7757_57829,2474238480_56924_57829,102
BGC0001694,3293040098_2166_73870,3293040098_2166_3503,-1
BGC0001694,3293040098_2166_73870,3293040098_3534_4340,296
BGC0001694,3293040098_2166_73870,3293040098_5766_6422,-1
BGC0001694,3293040098_2166_73870,3293040098_6458_7228,459
BGC0001694,3293040098_2166_73870,3293040098_7225_8070,180
BGC0001694,3293040098_2166_73870,3293040098_8067_9749,396
BGC0001694,3293040098_2166_73870,3293040098_9736_10632,104
BGC0001694,3293040098_2166_73870,3293040098_10629_11870,184
BGC0001694,3293040098_2166_73870,3293040098_11867_12808,-1
BGC0001694,3293040098_2166_73870,3293040098_12805_14445,-1
BGC0001694,3293040098_2166_73870,3293040098_14442_15437,220
BGC0001694,3293040098_2166_73870,3293040098_15525_15758,-1
BGC0001694,3293040098_2166_73870,3293040098_15755_16972,524
BGC0001694,3293040098_2166_73870,3293040098_17070_17843,104
BGC0001694,3293040098_2166_73870,3293040098_19109_20557,104
BGC0001694,3293040098_2166_73870,3293040098_20783_21814,247
BGC0001694,3293040098_2166_73870,3293040098_21820_23706,6
BGC0001694,3293040098_2166_73870,3293040098_23703_23930,-1
BGC0001694,3293040098_2166_73870,3293040098_23927_24769,1
BGC0001694,3293040098_2166_73870,3293040098_24766_25887,390
BGC0001694,3293040098_2166_73870,3293040098_25884_26708,195
BGC0001694,3293040098_2166_73870,3293040098_26788_27324,323
BGC0001694,3293040098_2166_73870,3293040098_62267_65095,174
BGC0001694,3293040098_2166_73870,3293040098_65206_66798,195
BGC0001694,3293040098_2166_73870,3293040098_66795_72587,-1
BGC0001694,3293040098_2166_73870,3293040098_72875_73870,252
BGC0001337,94561307_13810_18167,94561307_13810_15237,99
BGC0001337,94561307_13810_18167,94561307_15234_18167,108
BGC0001336,3725698857_19_10971,3725698857_19_1059,201
BGC0001336,3725698857_19_10971,3725698857_1144_2796,518
BGC0001336,3725698857_19_10971,3725698857_2783_4282,99
BGC0001336,3725698857_19_10971,3725698857_4282_7596,108
BGC0001336,3725698857_19_10971,3725698857_7628_9034,469
BGC0001336,3725698857_19_10971,3725698857_9259_10971,284
BGC0001331,2085597899_3210_31250,2085597899_3210_3959,195
BGC0001330,3844012681_12332_40375,3844012681_39626_40375,195
BGC0001332,2968784389_1_42086,2968784389_8920_9303,341
BGC0001332,2968784389_1_42086,2968784389_9378_10556,248
BGC0001332,2968784389_1_42086,2968784389_10635_12224,326
